"","XCord","YCord","commonName","scientificName","State","County","Locality","observationDate","userID"
"1",-114.1514897,34.2604797,"Phainopepla","Phainopepla nitens","California","San Bernardino","Parker Dam Rd","P","12:30:00"
"2",-114.1514897,34.2604797,"House Finch","Haemorhous mexicanus","California","San Bernardino","Parker Dam Rd","P","12:30:00"
"3",-114.1431401,34.2609201,"White-crowned Sparrow","Zonotrichia leucophrys","California","San Bernardino","BLM--Cable Car Day Use Area","2011-12-30","obsr169186"
"4",-114.1397411,34.2614541,"Wilson's Warbler","Cardellina pusilla","California","San Bernardino","Parker Strip -- River Lodge Resort","2012-04-26","obsr28253"
"5",-114.1397411,34.2614541,"Brown-headed Cowbird","Molothrus ater","California","San Bernardino","Parker Strip -- River Lodge Resort","2012-04-26","obsr28253"
"6",-114.1397411,34.2614541,"Say's Phoebe","Sayornis saya","California","San Bernardino","Parker Strip -- River Lodge Resort","2012-04-26","obsr86405"
"7",-114.1397411,34.2614541,"Brown-headed Cowbird","Molothrus ater","California","San Bernardino","Parker Strip -- River Lodge Resort","2012-04-26","obsr86405"
"8",-114.2248598,34.2091996,"Common Goldeneye","Bucephala clangula","California","San Bernardino","Emerald Cove ponds","2014-05-06","obsr28253"
"9",-114.2248598,34.2091996,"American Coot","Fulica americana","California","San Bernardino","Emerald Cove ponds","2014-11-06","obsr28253"
"10",-114.2248598,34.2091996,"Common Goldeneye","Bucephala clangula","California","San Bernardino","Emerald Cove ponds","2018-01-13","obsr28253"
"11",-114.2248598,34.2091996,"Northern Rough-winged Swallow","Stelgidopteryx serripennis","California","San Bernardino","Emerald Cove ponds","2014-11-13","obsr27006"
"12",-114.2248598,34.2091996,"Spotted Sandpiper","Actitis macularius","California","San Bernardino","Emerald Cove ponds","2014-04-26","obsr28253"
"13",-114.2248598,34.2091996,"Mourning Dove","Zenaida macroura","California","San Bernardino","Emerald Cove ponds","2014-08-03","obsr102204"
"14",-114.2248598,34.2091996,"Killdeer","Charadrius vociferus","California","San Bernardino","Emerald Cove ponds","2014-07-23","obsr506204"
"15",-114.2248598,34.2091996,"Mallard","Anas platyrhynchos","California","San Bernardino","Emerald Cove ponds","2014-08-04","obsr131919"
"16",-114.2248598,34.2091996,"American Coot","Fulica americana","California","San Bernardino","Emerald Cove ponds","2014-11-13","obsr28253"
"17",-114.2248598,34.2091996,"Mallard","Anas platyrhynchos","California","San Bernardino","Emerald Cove ponds","2014-08-20","obsr28253"
"18",-114.2248598,34.2091996,"Spotted Sandpiper","Actitis macularius","California","San Bernardino","Emerald Cove ponds","2014-05-10","obsr28253"
"19",-114.2248598,34.2091996,"Wilson's Phalarope","Phalaropus tricolor","California","San Bernardino","Emerald Cove ponds","2014-07-24","obsr506204"
"20",-114.2248598,34.2091996,"Semipalmated Sandpiper","Calidris pusilla","US","US-CA",NA,"H","09:00:00"
"21",-114.2248598,34.2091996,"Mallard","Anas platyrhynchos","California","San Bernardino","Emerald Cove ponds","2014-02-22","obsr430834"
"22",-114.2248598,34.2091996,"Killdeer","Charadrius vociferus","California","San Bernardino","Emerald Cove ponds","2014-07-23","obsr131919"
"23",-114.2248598,34.2091996,"Western Sandpiper","Calidris mauri","California","San Bernardino","Emerald Cove ponds","2014-06-29","obsr27006"
"24",-114.2248598,34.2091996,"Mallard","Anas platyrhynchos","California","San Bernardino","Emerald Cove ponds","2014-08-12","obsr102204"
"25",-114.2248598,34.2091996,"Red-necked Phalarope","Phalaropus lobatus","California","San Bernardino","Emerald Cove ponds","2014-05-01","obsr27006"
"26",-114.2248598,34.2091996,"Northern Shoveler","Spatula clypeata","California","San Bernardino","Emerald Cove ponds","2014-02-22","obsr430834"
"27",-114.2248598,34.2091996,"Lesser Scaup","Aythya affinis","California","San Bernardino","Emerald Cove ponds","2014-03-09","obsr131919"
"28",-114.2166138,34.2120151,"American Coot","Fulica americana","California","San Bernardino","Crossroads CG","2011-02-03","obsr27006"
"29",-114.2166138,34.2120151,"Phainopepla","Phainopepla nitens","California","San Bernardino","Crossroads CG","2011-02-03","obsr27006"
"30",-114.20737,34.21961,"Abert's Towhee","Melozone aberti","California","San Bernardino","Rock House Info Center","P","07:00:00"
"31",-114.2063742,34.2192653,"Great-tailed Grackle","Quiscalus mexicanus","California","San Bernardino","Rock House visitor information center","2018-01-10","obsr112836"
"32",-114.2063742,34.2192653,"House Finch","Haemorhous mexicanus","California","San Bernardino","Rock House visitor information center","2017-04-19","obsr112836"
"33",-114.2063742,34.2192653,"Yellow-rumped Warbler","Setophaga coronata","California","San Bernardino","Rock House visitor information center","2017-04-19","obsr112836"
"34",-114.2063742,34.2192653,"Northern Flicker","Colaptes auratus","California","San Bernardino","Rock House visitor information center","2016-12-07","obsr112836"
"35",-114.2024517,34.2225903,"Osprey","Pandion haliaetus","California","San Bernardino","Empire Landing","2011-01-26","obsr27006"
"36",-114.2030525,34.2235838,"Bufflehead","Bucephala albeola","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2011-01-26","obsr153343"
"37",-114.2063742,34.2192653,"Northern Mockingbird","Mimus polyglottos","California","San Bernardino","Rock House visitor information center","2018-01-10","obsr112836"
"38",-114.2063742,34.2192653,"American Coot","Fulica americana","California","San Bernardino","Rock House visitor information center","2018-01-10","obsr112836"
"39",-114.2003095,34.2238964,"Eurasian Collared-Dove","Streptopelia decaocto","California","San Bernardino","7852 Riverside Drive","US (34.224","L9211099"
"40",-114.2063742,34.2192653,"American Kestrel","Falco sparverius","California","San Bernardino","Rock House visitor information center","2018-01-10","obsr112836"
"41",-114.2057616,34.2192413,"Common Loon","Gavia immer","California","San Bernardino","Parker Strip boat ramp","1991-12-21","obsr125809"
"42",-114.2057616,34.2192413,"Great Egret","Ardea alba","California","San Bernardino","Parker Strip boat ramp","1991-12-21","obsr125809"
"43",-114.2152083,34.2106673,"Mallard","Anas platyrhynchos","California","San Bernardino","CrossRoads Campground","2015-12-28","obsr509761"
"44",-114.2063742,34.2192653,"Ruby-crowned Kinglet","Regulus calendula","California","San Bernardino","Rock House visitor information center","2016-12-07","obsr112836"
"45",-114.2022264,34.2233952,"Abert's Towhee","Melozone aberti","California","San Bernardino","Campground on Parker Dam Rd","1990-06-24","obsr8984"
"46",-114.2145785,34.2157947,"Inca Dove","Columbina inca","California","San Bernardino","Earp Trailer Park","1985-02-20","obsr196748"
"47",-114.2145785,34.2157947,"Solitary Sandpiper","Tringa solitaria","California","San Bernardino","Earp Trailer Park","1981-08-07","obsr196748"
"48",-114.2057616,34.2192413,"Inca Dove","Columbina inca","California","San Bernardino","Parker Strip boat ramp","1991-12-21","obsr125809"
"49",-114.2057616,34.2192413,"Bufflehead","Bucephala albeola","California","San Bernardino","Parker Strip boat ramp","1991-12-21","obsr125809"
"50",-114.2220353,34.2118827,"Lucy's Warbler","Leiothlypis luciae","California","San Bernardino","Emerald Cove","1994-04-03","obsr476140"
"51",-114.2220353,34.2118827,"White-crowned Sparrow","Zonotrichia leucophrys","California","San Bernardino","Emerald Cove","1994-04-03","obsr476140"
"52",-114.2030525,34.2235838,"Western Meadowlark","Sturnella neglecta","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr91638"
"53",-114.2030525,34.2235838,"Turkey Vulture","Cathartes aura","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr114768"
"54",-114.2030525,34.2235838,"Spotted Sandpiper","Actitis macularius","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr158843"
"55",-114.2030525,34.2235838,"American Avocet","Recurvirostra americana","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr91638"
"56",-114.2030525,34.2235838,"American Kestrel","Falco sparverius","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr114768"
"57",-114.2030525,34.2235838,"Gambel's Quail","Callipepla gambelii","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr91638"
"58",-114.2030525,34.2235838,"Western Tanager","Piranga ludoviciana","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr91638"
"59",-114.2030525,34.2235838,"Killdeer","Charadrius vociferus","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr158843"
"60",-114.2030525,34.2235838,"Crissal Thrasher","Toxostoma crissale","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr114768"
"61",-114.2030525,34.2235838,"Gila Woodpecker","Melanerpes uropygialis","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr114768"
"62",-114.2030525,34.2235838,"American Kestrel","Falco sparverius","California","San Bernardino","Colorado River - Headgate Rock Dam to River Lodge Resort","2009-09-18","obsr153343"
